domain,salePriceUsd,saleDate,venue,tld,category,wordCount,charLength,year,sourceSection,source
Chat.com,15500000,4/17/24,Hilco Digital/ATM Holdings (Andrew Miller)/Larry Fischer,.com,short,1,4,2023,all_extensions,DNJournal
Help.com,3000000,1/18/23,Above.com,.com,short,1,4,2023,all_extensions,DNJournal
Max.com,1800000,11/8/23,NameExperts,.com,short,1,3,2023,all_extensions,DNJournal
Hurt.com,1500000,11/8/23,Pvt Sale,.com,short,1,4,2023,all_extensions,DNJournal
Room.com,1500000,9/13/23,Michael Castello/ Mark Daniel (DomainHoldings.com),.com,short,1,4,2023,all_extensions,DNJournal
GLD.com,1000000,3/6/24,Pvt Sale,.com,short,1,3,2023,all_extensions,DNJournal
You.ai,700000,10/11/23,Sedo,.ai,short,1,3,2023,all_extensions,DNJournal
Socrates.com,600000,10/25/23,Legal Brand Marketing,.com,brand,1,8,2023,all_extensions,DNJournal
ECL.com,600000,3/29/23,K-Ventures/GoDaddy,.com,short,1,3,2023,all_extensions,DNJournal
PFA.com,450000,10/25/23,ApexMoon,.com,short,1,3,2023,all_extensions,DNJournal
Anyone.com,400000,5/14/25,MediaOptions,.com,brand,1,6,2023,all_extensions,DNJournal
Betting.online,400000,10/25/23,Radix,.online,finance,1,7,2023,all_extensions,DNJournal
Giveaway.com,400000,3/1/23,Sedo,.com,commerce,1,8,2023,all_extensions,DNJournal
TopHotels.com,380000,3/1/23,"Sedo 329/23 14. tie TopHotels.com $380,000 Sedo 329/23 16. PFP.com $353,000 K-Ventures/Sedo",.com,commerce,2,9,2023,all_extensions,DNJournal
AIQ.com,325000,11/8/23,Sedo,.com,ai,1,3,2023,all_extensions,DNJournal
Tactic.com,303295,3/1/23,Buckley Media,.com,brand,1,6,2023,all_extensions,DNJournal
Roofs.com,303000,11/13/24,Pvt Sale,.com,brand,1,5,2023,all_extensions,DNJournal
PFP.com,353000,3/1/23,K-Ventures/Sedo,.com,short,1,3,2023,all_extensions,DNJournal
Vegetarian.com,300000,9/27/23,HQBrokerage,.com,brand,1,10,2023,all_extensions,DNJournal
YourRide.com,300000,5/17/23,Evergreen.com,.com,brand,2,8,2023,all_extensions,DNJournal
TXT.com,300000,2/1/23,Bassir.io,.com,short,1,3,2023,all_extensions,DNJournal
Plans.com,275000,8/30/23,Squadhelp,.com,brand,1,5,2023,all_extensions,DNJournal
Skywin.com,275000,1/18/23,Sedo,.com,brand,1,6,2023,all_extensions,DNJournal
HDL.com,260000,6/8/23,Buckley Media/Lumis,.com,short,1,3,2023,all_extensions,DNJournal
Stack.ai,258888,8/30/23,Terrains.com sold via GoDaddy/Afternic (brokered by Velizar Sofranov),.ai,brand,1,5,2023,all_extensions,DNJournal
Plunge.com,250000,12/20/23,Brannans.com,.com,brand,1,6,2023,all_extensions,DNJournal
Whiskey.com,250000,11/8/23,Sedo,.com,brand,1,7,2023,all_extensions,DNJournal
NPC.ai,250000,8/16/23,Sedo,.ai,ai,1,3,2023,all_extensions,DNJournal
Onyx.com,250000,6/21/23,Pvt Sale,.com,short,1,4,2023,all_extensions,DNJournal
Fiasco.com,203500,9/13/23,LegalBrandMarketing,.com,brand,1,6,2023,all_extensions,DNJournal
AirPlay.com,202000,4/14/23,GoDaddy,.com,ai,2,7,2023,all_extensions,DNJournal
EZE.com,200000,1/10/24,LegalBrandMarketing/Sedo,.com,short,1,3,2023,all_extensions,DNJournal
Miri.com,199995,11/22/23,Andy Booth/Squadhelp,.com,short,1,4,2023,all_extensions,DNJournal
Palestine.com,194400,2/15/23,Above.com,.com,geo,1,9,2023,all_extensions,DNJournal
SolarEnergy.com,175000,7/26/23,Sedo,.com,brand,2,11,2023,all_extensions,DNJournal
NFC.com,160000,8/16/24,Markus Schnermann,.com,short,1,3,2023,all_extensions,DNJournal
Hot7.com,150000,12/6/23,Sedo,.com,short,1,4,2023,all_extensions,DNJournal
Nuum.com,150000,10/25/23,Sedo,.com,short,1,4,2023,all_extensions,DNJournal
Schematic.com,150000,9/27/23,LegalBrandMarketing,.com,brand,1,9,2023,all_extensions,DNJournal
Swiper.com,150000,8/30/23,Sedo,.com,brand,1,6,2023,all_extensions,DNJournal
Throne.com,150000,8/30/23,DomainBooth,.com,brand,1,6,2023,all_extensions,DNJournal
Accelerator.com,145050,10/25/23,GoDaddy,.com,brand,1,11,2023,all_extensions,DNJournal
COA.com,140000,2/15/23,LegalBrandMarketing,.com,short,1,3,2023,all_extensions,DNJournal
Majoris.com,130000,5/17/23,DomainMarket,.com,brand,1,7,2023,all_extensions,DNJournal
Hero.io,125000,8/16/23,DomainBooth/SquadHelp/ SecretBrokerage/ CryptoExchange,.io,short,1,4,2023,all_extensions,DNJournal
Agents.ai,125000,7/26/23,Pvt Sale,.ai,ai,1,6,2023,all_extensions,DNJournal
Eleven.io,121000,12/20/23,DomainBooth/ Squadhelp,.io,brand,1,6,2023,all_extensions,DNJournal
StoneAge.com,120200,2/1/23,LegalBrandMarketing,.com,brand,2,8,2023,all_extensions,DNJournal
SecondBrain.com,120000,10/25/23,Sedo,.com,ai,2,11,2023,all_extensions,DNJournal
IO.net,118000,8/30/23,DomainsNext/GoDaddy,.net,tech,1,2,2023,all_extensions,DNJournal
Precise.ai,110000,11/22/23,Andy Booth/Squadhelp,.ai,brand,1,7,2023,all_extensions,DNJournal
BC.xyz,110000,8/2/23,DAN.com,.xyz,short,1,2,2023,all_extensions,DNJournal
TopFX.eu,108000,1/18/23,Sedo,.eu,finance,2,5,2023,all_extensions,DNJournal
Daga.com,106000,4/14/23,K-Ventures/GoDaddy,.com,short,1,4,2023,all_extensions,DNJournal
Statistic.com,100000,8/30/23,DomainBooth,.com,brand,1,9,2023,all_extensions,DNJournal
Anxiety.org,100000,7/26/23,Sedo,.org,health,1,7,2023,all_extensions,DNJournal
De.fi,100000,2/15/23,Domeen.com,.fi,short,1,2,2023,all_extensions,DNJournal
Nevis.com,100000,1/18/23,Sedo,.com,brand,1,5,2023,all_extensions,DNJournal
ThisAV.com,99000,2/1/23,Sedo,.com,brand,2,6,2023,all_extensions,DNJournal
Archies.com,98400,3/29/23,Pvt Sale,.com,brand,1,7,2023,all_extensions,DNJournal
W.app,96000,6/21/23,Sedo,.app,short,1,1,2023,all_extensions,DNJournal
Bezi.com,95000,10/25/23,DomainBooth,.com,short,1,4,2023,all_extensions,DNJournal
Buy.es,92650,8/2/23,Sedo,.es,commerce,1,3,2023,all_extensions,DNJournal
Study.ai,90000,12/6/23,Andy Booth,.ai,education,1,5,2023,all_extensions,DNJournal
ML.cloud,87200,11/22/23,Nidoma,.cloud,ai,1,2,2023,all_extensions,DNJournal
Tranquil.com,85000,8/30/23,DomainBooth,.com,brand,1,8,2023,all_extensions,DNJournal
Genie.io,82500,11/8/23,Efty,.io,brand,1,5,2023,all_extensions,DNJournal
AIGenerator.com,81675,5/18/23,Greg Meyers/DAN.com,.com,ai,1,11,2023,all_extensions,DNJournal
QLAR.com,81000,12/6/23,Sedo,.com,short,1,4,2023,all_extensions,DNJournal
Culinary.com,80000,1/10/24,Sedo,.com,brand,1,8,2023,all_extensions,DNJournal
Grades.com,80000,1/10/24,Sedo,.com,brand,1,6,2023,all_extensions,DNJournal
Grades.com,80000,12/6/23,Sedo,.com,brand,1,6,2023,all_extensions,DNJournal
Poker.club,80000,12/6/23,Afternic,.club,finance,1,5,2023,all_extensions,DNJournal
OneLineage.com,80000,10/11/23,Sedo,.com,brand,2,10,2023,all_extensions,DNJournal
MyBets.com,80000,4/14/23,DomainBooth/Squadhelp,.com,finance,2,6,2023,all_extensions,DNJournal
SmartBockchain.com,80000,2/15/23,Sedo,.com,ai,2,14,2023,all_extensions,DNJournal
Clockwork.xyz,79888,5/17/23,Swetha.xyz/DAN.com,.xyz,brand,1,9,2023,all_extensions,DNJournal
789.win,78900,12/20/23,Sedo,.win,short,1,3,2023,all_extensions,DNJournal
Kulta.com,75000,3/1/23,Sedo,.com,brand,1,5,2023,all_extensions,DNJournal
Socrates.xyz,74888,3/1/23,Swetha.xyz/Sedo,.xyz,brand,1,8,2023,all_extensions,DNJournal
AIWriter.com,67500,8/2/23,Greg Meyers/DAN.com,.com,ai,1,8,2023,all_extensions,DNJournal
Normal.es,65000,2/1/23,Sedo,.es,brand,1,6,2023,all_extensions,DNJournal
Matched.com,62380,12/20/23,Sedo,.com,brand,1,7,2023,all_extensions,DNJournal
Biti.com,61200,6/8/23,Sedo,.com,short,1,4,2023,all_extensions,DNJournal
Millionaires.com,60100,3/15/23,SnapNames,.com,ai,1,12,2023,all_extensions,DNJournal
RTBet.com,60000,11/8/23,Sedo,.com,finance,1,5,2023,all_extensions,DNJournal
Vital.io,60000,3/15/23,Sedo,.io,brand,1,5,2023,all_extensions,DNJournal
Climateers.com,59888,6/8/23,DomainMarket,.com,brand,1,10,2023,all_extensions,DNJournal
Relu.com,58888,11/22/23,Sedo,.com,short,1,4,2023,all_extensions,DNJournal
Aim.io,57729,6/21/23,Sedo,.io,ai,1,3,2023,all_extensions,DNJournal
Nomos.ai,55000,12/20/23,DomainBooth,.ai,brand,1,5,2023,all_extensions,DNJournal
Magnet.de,54570,9/13/23,Sedo,.de,brand,1,6,2023,all_extensions,DNJournal
802.com,53499,11/22/23,SnapNames,.com,short,1,3,2023,all_extensions,DNJournal
HotelDeal.com,51000,10/11/23,Sedo,.com,commerce,2,9,2023,all_extensions,DNJournal
EZBank.com,50000,1/20/14,Afternic,.com,finance,1,6,2023,all_extensions,DNJournal
Gold.net,50000,10/25/23,Sedo,.net,finance,1,4,2023,all_extensions,DNJournal
1337.org,50000,9/27/23,Sedo,.org,short,1,4,2023,all_extensions,DNJournal
Pics.ai,50000,9/13/23,Sedo,.ai,short,1,4,2023,all_extensions,DNJournal
Cardiac.com,50000,8/30/23,DomainBooth,.com,finance,1,7,2023,all_extensions,DNJournal
Speedz.com,50000,4/14/23,Sedo,.com,brand,1,6,2023,all_extensions,DNJournal
CloudTech.com,50000,2/1/23,DomainName.com,.com,tech,2,9,2023,all_extensions,DNJournal
Viral.io,60000,3/15/23,Sedo,.io,brand,1,5,2023,cctld,DNJournal
Payments.co,48600,2/15/23,Sedo,.co,finance,1,8,2023,cctld,DNJournal
Regeneration.co,47350,9/27/23,Buzzoo,.co,tech,1,12,2023,cctld,DNJournal
Eternal.co,45000,1/7/26,Pvt Sale/NamePros Lander,.co,brand,1,7,2023,cctld,DNJournal
More.ai,44321,3/15/23,Media Code LLC,.ai,short,1,4,2023,cctld,DNJournal
PX.io,41800,12/20/23,Sedo,.io,short,1,2,2023,cctld,DNJournal
Blaze.ai,40000,8/16/23,LegalBrandMarketing,.ai,brand,1,5,2023,cctld,DNJournal
Pornos.de,37800,2/15/23,Sedo,.de,brand,1,6,2023,cctld,DNJournal
Tree.com.au,34407,6/8/23,Above.com,.com.au,short,1,4,2023,cctld,DNJournal
Hout.nl,33000,5/3/23,BusinessForSale.eu,.nl,short,1,4,2023,cctld,DNJournal
Gov.de,32400,5/17/23,Sedo,.de,short,1,3,2023,cctld,DNJournal
ApostaLegal.com.br,30000,6/21/23,Sedo,.com.br,legal,2,11,2023,cctld,DNJournal
Chess.ru,28234,9/13/23,Pvt Sale,.ru,brand,1,5,2023,cctld,DNJournal
Shark.ai,28000,7/2/23,Pvt Sale,.ai,brand,1,5,2023,cctld,DNJournal
DN.io,27500,8/16/23,MrPremium.com,.io,short,1,2,2023,cctld,DNJournal
Belegging.nl,27500,5/3/23,BusinessForSale.eu,.nl,brand,1,9,2023,cctld,DNJournal
Beleggingen.nl,27500,5/3/23,BusinessForSale.eu,.nl,brand,1,11,2023,cctld,DNJournal
CIV.co,27500,3/15/23,Buzzoo.com,.co,short,1,3,2023,cctld,DNJournal
Pen.ai,27250,8/16/23,Sedo,.ai,short,1,3,2023,cctld,DNJournal
FerienJob.de,27000,6/8/23,Sedo,.de,brand,2,9,2023,cctld,DNJournal
Localize.ai,26500,8/2/23,Sedo,.ai,brand,1,8,2023,cctld,DNJournal
QM.de,26500,3/1/23,Sedo,.de,short,1,2,2023,cctld,DNJournal
Punter.co.uk,26136,10/25/23,Andy.co.uk,.co.uk,brand,1,6,2023,cctld,DNJournal
Webmail.de,25130,8/2/23,Sedo,.de,ai,1,7,2023,cctld,DNJournal
Maxed.co,25000,9/27/23,Buzzoo/Afternic,.co,brand,1,5,2023,cctld,DNJournal
Field.ai,25000,8/16/23,Sedo,.ai,brand,1,5,2023,cctld,DNJournal
Flyr.ai,24999,8/16/23,Sedo,.ai,short,1,4,2023,cctld,DNJournal
Pioneer.us,24375,5/17/23,Sedo,.us,tech,1,7,2023,cctld,DNJournal
Spark.fi,24062,10/25/23,Sedo,.fi,brand,1,5,2023,cctld,DNJournal
Litmus.ai,24000,7/2/23,Pvt Sale,.ai,brand,1,6,2023,cctld,DNJournal
Sales.co,24000,5/17/23,Sedo,.co,commerce,1,5,2023,cctld,DNJournal
Coupons.co.uk,23680,6/21/23,Sedo,.co.uk,commerce,1,7,2023,cctld,DNJournal
Direct.ai,23500,8/16/23,Sedo,.ai,brand,1,6,2023,cctld,DNJournal
PhotovoltaikAnlagen.de,22400,7/26/23,Sedo,.de,ai,2,19,2023,cctld,DNJournal
CarLease.co.uk,22140,10/11/23,Andy.co.uk,.co.uk,brand,2,8,2023,cctld,DNJournal
Coupons.at,21800,6/21/23,Sedo,.at,commerce,1,7,2023,cctld,DNJournal
Rugs.se,21600,3/29/23,Sedo,.se,short,1,4,2023,cctld,DNJournal
Sixty.co,21000,1/7/26,Pvt Sale/NamePros Lander,.co,brand,1,5,2023,cctld,DNJournal
Access.me,20710,11/22/23,Sedo,.me,brand,1,6,2023,cctld,DNJournal
TVBet.com.br,20001,12/20/23,Sedo,.com.br,finance,1,5,2023,cctld,DNJournal
Dara.co,20000,9/27/23,Buzzoo/GoDaddy Brokerage,.co,short,1,4,2023,cctld,DNJournal
Her.co,20000,7/2/23,Sedo,.co,short,1,3,2023,cctld,DNJournal
VIP.ai,20000,4/14/23,CryptoExchange/ SecretBrokerage,.ai,short,1,3,2023,cctld,DNJournal
Shipping.ai,19999,7/2/23,Sedo,.ai,brand,1,8,2023,cctld,DNJournal
TIL.co,19900,4/14/23,MagnumDomains,.co,short,1,3,2023,cctld,DNJournal
Fragile.co,19750,1/7/26,Pvt Sale/NamePros Lander,.co,brand,1,7,2023,cctld,DNJournal
Friends.ai,18500,5/17/23,MrPremium.com,.ai,brand,1,7,2023,cctld,DNJournal
XM.net.au,18425,7/2/23,SapoBlue.com.au,.net.au,short,1,2,2023,cctld,DNJournal
GSM.be,16960,10/11/23,BusinessForSale.eu,.be,short,1,3,2023,cctld,DNJournal
Toy.ai,16350,8/2/23,Sedo,.ai,short,1,3,2023,cctld,DNJournal
Autoaz.de,16350,6/21/23,Sedo,.de,brand,1,6,2023,cctld,DNJournal
Utrace.de,16200,1/18/23,Sedo,.de,brand,1,6,2023,cctld,DNJournal
WalkingForHealth.org.uk,16165,2/15/23,DomainLore.uk,.org.uk,health,3,16,2023,cctld,DNJournal
Glance.ai,16000,8/16/23,Sedo,.ai,brand,1,6,2023,cctld,DNJournal
Ferienhaus-Nordsee.de,15900,9/27/23,Sedo,.de,brand,2,18,2023,cctld,DNJournal
Pan.ai,15800,2/19/25,Brands.io,.ai,short,1,3,2023,cctld,DNJournal
