domain,salePriceUsd,saleDate,venue,tld,category,wordCount,charLength,source
AgenticIntelligence.com,150000,2026-05-24,Afternic,.com,ai,1,19,DNJournal May 11-24 2026 report
HoneyPot.com,150000,2026-05-24,Sedo,.com,brand,1,8,DNJournal May 11-24 2026 report
Remedy.co,75000,2026-05-24,NamePros Lander,.co,brand,1,6,DNJournal May 11-24 2026 report
Vegas.ai,70000,2026-05-24,Namecheap,.ai,travel,1,5,DNJournal May 11-24 2026 report
Stagehand.com,42000,2026-05-24,SnapNames,.com,brand,1,9,DNJournal May 11-24 2026 report
Atuin.com,38900,2026-05-24,Sedo,.com,brand,1,5,DNJournal May 11-24 2026 report
EasyFi.com,34000,2026-05-24,Sedo,.com,brand,1,6,DNJournal May 11-24 2026 report
IdentityTheft.org,30000,2026-05-24,Sedo,.org,brand,1,13,DNJournal May 11-24 2026 report
Toronto.ai,29000,2026-05-24,Namecheap,.ai,geo,1,7,DNJournal May 11-24 2026 report
Osiro.com,29000,2026-05-24,Sedo,.com,brand,1,5,DNJournal May 11-24 2026 report
Tikkun.org,23500,2026-05-24,NameJet,.org,brand,1,6,DNJournal May 11-24 2026 report
CourtBooking.com,22245,2026-05-24,DomainMarket,.com,legal,1,12,DNJournal May 11-24 2026 report
HappyOyster.com,19888,2026-05-24,DomainMarket,.com,tech,1,11,DNJournal May 11-24 2026 report
Select.org,19511,2026-05-24,NameJet,.org,brand,1,6,DNJournal May 11-24 2026 report
Voso.com,18000,2026-05-24,SnapNames,.com,short,1,4,DNJournal May 11-24 2026 report
Doggy.it,17400,2026-05-24,Sedo,.it,brand,1,5,DNJournal May 11-24 2026 report
IW7.com,17400,2026-05-24,Sedo,.com,short,1,3,DNJournal May 11-24 2026 report
Zagora.com,16500,2026-05-24,SnapNames,.com,brand,1,6,DNJournal May 11-24 2026 report
ScoreTV.com,16240,2026-05-24,Sedo,.com,brand,1,7,DNJournal May 11-24 2026 report
Maint.com,15500,2026-05-24,SnapNames,.com,ai,1,5,DNJournal May 11-24 2026 report
WaikatoNZ.com,15500,2026-05-24,SnapNames,.com,ai,1,9,DNJournal May 11-24 2026 report
Betzz.com,15211,2026-05-24,Dynadot,.com,finance,1,5,DNJournal May 11-24 2026 report
Vertage.com,15000,2026-05-24,DomainMarket,.com,brand,1,7,DNJournal May 11-24 2026 report
SFData.com,14995,2026-05-24,Sedo,.com,ai,1,6,DNJournal May 11-24 2026 report
GoldAssetManagement.com,14888,2026-05-24,DomainMarket,.com,finance,1,19,DNJournal May 11-24 2026 report
Livance.com,14888,2026-05-24,DomainMarket,.com,brand,1,7,DNJournal May 11-24 2026 report
LincolnApts.com,14500,2026-05-24,NameJet,.com,brand,1,11,DNJournal May 11-24 2026 report
Lupemba.com,13500,2026-05-24,DomainMarket,.com,brand,1,7,DNJournal May 11-24 2026 report
